515911,000000000000000000026d8ef2f1a65dede420a5bd74464a3f8c44ce16c11bf9,BTC.com,5hwqdbwsa55ljmdm.onion:8333,ndndword5lpb7eex.onion:8333,427alzsndvshrvnh.onion:8333,xub4w3w4wwk56xiq.onion:8333,kkdas3qebkosygu5.onion:8333,u7mpvxotmnqntyn5.onion:8333,rkdvqcrtfv6yt4oy.onion:8333,ohgwa5y65z4eem7b.onion:8333,dt74qf2lvpat4w6j.onion:8333
515834,00000000000000000005240e26524abf982e94680721fd2373bb13c9f1d62be7,BTC.com,88.99.107.117:8333,88.99.146.100:8333,148.251.21.175:8333,[2a01:4f8:10a:2aa3::2]:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,109.230.239.51:8333,88.198.35.38:8333,107.191.33.82:8333,[2a01:4f8:140:7334::2]:8333,[2001:41d0:303:411c::]:8333
515833,0000000000000000002a0c76658f2eb7ebdc9b7061fa517ff141c230429487b9,BTCC,Not Found
515832,0000000000000000003d0b86822c9cd99cc21b5fda00e0fb843381574833c70a,F2Pool,Not Found
515831,0000000000000000001522c29587de92e5bf9e1b76c84da985431c4c37e1aa44,BTC.com,5nir6d6nd5bolrkv.onion:8333,ndndword5lpb7eex.onion:8333,sslnjjhnmwllysv4.onion:8333,5hwqdbwsa55ljmdm.onion:8333,dgs2gvxw4elsayqe.onion:8333,hgxcom3vbvhrxg7p.onion:8333,u7mpvxotmnqntyn5.onion:8333,l5oddj46pvoddzd4.onion:8333,ep2mjzox3kvb6ax4.onion:8333,qepth54daysmpy5y.onion:8333
515830,0000000000000000000b89d201edf12217708cebd47699dc0b5fb73ed300e85c,ViaBTC,138.201.221.83:8333,39.106.48.119:8333,[2a01:4f8:10a:3fe4::2]:8333,5.9.102.100:8333,[2a01:4f8:141:448b::2]:8333,188.40.71.200:8333,217.233.84.167:8333,5.9.115.51:8333,176.9.155.246:8333,92.154.2.105:8333
515829,0000000000000000002081f91c3f2c680bb7fbee18a9ef40992dece954d96be8,SlushPool,95.96.8.120:8333,[2a03:b0c0:1:d0::69:3001]:8333,138.201.221.83:8333,88.198.35.38:8333,188.68.41.51:8333,178.63.22.78:8333,[2a01:4f8:141:448b::2]:8333,34.227.114.113:8333,[2a01:4f8:10a:3fe4::2]:8333,52.29.178.25:8333
515828,0000000000000000000253eb008c988272de462e74a2e18da24d136ba117562d,unknown,dgs2gvxw4elsayqe.onion:8333,ndndword5lpb7eex.onion:8333,5hwqdbwsa55ljmdm.onion:8333,rkdvqcrtfv6yt4oy.onion:8333,ep2mjzox3kvb6ax4.onion:8333,zyamskythuz3ujom.onion:8333,ohgwa5y65z4eem7b.onion:8333,132.204.108.155:8333,222.239.119.44:8333,94.65.90.255:8333
515827,0000000000000000000ff589eda121e9ebac5fc606f8695dab8a8fe4b4d6ec87,AntPool,rkdvqcrtfv6yt4oy.onion:8333,5nir6d6nd5bolrkv.onion:8333,dgs2gvxw4elsayqe.onion:8333,sslnjjhnmwllysv4.onion:8333,kvd44sw7skb5folw.onion:8333,xub4w3w4wwk56xiq.onion:8333,ep2mjzox3kvb6ax4.onion:8333,vlf5i3grro3wux24.onion:8333,i3a5xtzfm4xwtybd.onion:8333,bitcoin4rlfa4wqx.onion:8333
515826,00000000000000000006bb1cec96fae77ff1def16d370bef0ce92764e3cb22b4,BTCC,88.99.146.100:8334,88.99.107.117:8333,88.99.146.100:8333,[2a01:4f8:10a:2aa3::2]:8333,46.166.148.218:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,109.230.239.51:8333,88.198.35.38:8333,190.115.26.42:8333,[2001:41d0:303:411c::]:8333
515825,0000000000000000003192756f31d1c4c8faf0389f6b16085dd3450bf83d4fd2,Bixin,88.99.107.117:8333,88.99.146.100:8333,[2a01:4f8:10a:2aa3::2]:8333,46.166.148.218:8333,95.216.3.56:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,[2a01:4f8:212:25::2]:8333,88.198.35.38:8333,[2a01:4f8:a0:62a6::2]:8333,[2001:41d0:303:411c::]:8333
515824,00000000000000000003064fe043274055c4225a106233ba23a4ada380b39cae,ConnectBTC,46.51.216.153:8333,52.213.83.100:8333,94.23.59.197:8333,195.154.253.69:8333,31.207.113.74:8333,159.89.185.150:8333,5.9.66.210:8333,[2a01:4f8:13b:4281::2]:8333,148.251.21.175:8333,[2001:41d0:8:c67c::]:8333
515823,0000000000000000002e2d10412dc72779136f708b1117798386a002e2792884,BitFury,80.92.178.117:8333,[2a01:4f8:202:53c3::2]:8333,[2a01:4f8:150:3343::2]:8333,[2a01:4f8:13b:109e::2]:8333,94.130.9.56:8333,148.251.75.48:8333,[2a01:4f8:210:5488::2]:8333,144.76.136.19:8333,94.130.140.225:8333,47.91.78.239:8333
515822,00000000000000000047874cf693e5cfd8992e7fa62908988f4115471f3554f7,BTC.com,35.158.229.162:8333,[2a01:4f8:212:25::2]:8333,[2a01:4f8:13b:109e::2]:8333,5.9.87.26:8333,39.106.161.222:8333,112.120.160.202:8333,88.99.82.23:8333,[2a01:4f8:c17:6dd0::2]:8333,[2a01:4f8:13b:1605::2]:8333,[2a01:4f8:192:1191::2]:8333
515821,00000000000000000037d33cd939e20527086c70d0858da03e203e5caa174afa,unknown,47.90.242.194:8333,47.90.242.214:8333,47.90.241.212:8333,54.36.234.240:8333,144.76.220.47:8331,144.217.255.69:8333,46.229.168.201:8333,138.197.105.13:8333,[2001:41d0:303:411c::]:8333,159.89.185.150:8333
515820,00000000000000000004f1a91024351b6ce4c0a2cb14c9359359b220ac6d2097,SlushPool,[2a01:4f8:200:44e4::2]:8333,5.9.102.100:8333,178.33.34.137:8333,93.89.84.93:8333,148.251.80.11:8333,137.226.34.46:8333,[2a01:4f8:13b:1605::2]:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,5.9.115.51:8333,109.230.239.51:8333
515819,000000000000000000437c4bc3d3987a8b24220b47fb86f0424a7afe13e3bace,SlushPool,94.130.84.44:8333,[2a01:4f8:200:44e4::2]:8333,5.9.102.100:8333,213.239.205.251:8333,85.214.234.164:8333,176.9.125.45:8333,148.251.21.175:8333,94.130.10.158:8333,[2a01:4f8:151:8430::2]:8333,144.76.136.19:8333
515818,000000000000000000376c170783fde4cf3c0b0082786ed1c8713566042e7f61,BTC.com,5.9.87.26:8333,144.76.117.158:8333,88.99.6.54:8333,[2a01:4f8:192:1191::2]:8333,[2a01:4f8:13b:5c9::2]:8333,88.198.35.38:8333,[2a01:4f8:151:52c6::154]:8333,47.91.89.32:8333,213.222.208.150:8333,91.121.175.85:8333
515817,000000000000000000421fa927b2739d0ae04b7de2ba006e4c379151926b2812,ViaBTC,46.28.204.47:8333,47.254.131.24:8333,180.103.221.41:8333,190.115.26.42:8333,138.68.94.213:8333,94.130.52.104:8333,39.106.15.192:8333,39.106.161.222:8333,37.187.157.71:8333,52.59.229.4:8333
515816,000000000000000000432a18327aaaedcbce7b8e8676fab7e2e48327ae1354d0,AntPool,159.65.83.218:8333,[2a01:4f8:13b:4281::2]:8333,47.91.78.239:8333,190.115.26.42:8333,[2a01:4f8:140:7334::2]:8333,[2a01:4f8:151:8430::2]:8333,[2a01:4f8:141:448b::2]:8333,[2a01:4f8:192:1191::2]:8333,39.106.161.222:8333,144.76.136.19:8333
515815,0000000000000000004f273620b2320284d018524bd4300f28b74563501f2cee,BitClub,88.99.146.100:8334,[2a01:4f8:a0:62a6::2]:8333,[2a01:4f8:140:7334::2]:8333,54.37.85.85:8800,[2a01:4f8:10b:2a9b::2]:8333,47.90.242.194:8333,144.76.136.19:8333,[2001:41d0:1:f6bb::1]:8333,144.76.220.47:8331,109.230.215.16:8333
515814,000000000000000000430a43f4864b5649ae0598d5848ca5a8fc00412e8ee7e7,F2Pool,[2a01:4f8:200:7222::2]:8333,144.76.196.35:8333,190.115.26.42:8333,39.106.55.220:8333,[2a01:4f8:10a:2aa3::3]:8333,39.106.15.192:8333,39.106.161.222:8333,78.46.93.239:8333,144.76.136.19:8333,178.33.34.137:8333
515813,0000000000000000004e4c2007ffc81d308fc1760ea55b40587e32ffbd5366ac,BTC.com,59.110.218.88:8333,47.95.213.15:8333,112.74.44.120:8333,[2a01:4f8:140:7334::2]:8333,94.130.52.104:8333,46.4.71.92:8333,188.68.41.51:8333,85.216.149.17:8333,34.227.114.113:8333,5.9.102.100:8333
515812,0000000000000000000287e85776b3c109edd3aec9e24fd716912c126678fc6f,AntPool,159.65.83.218:8333,78.155.223.212:38333,195.201.109.50:8333,188.40.71.200:8333,[2a01:4f8:212:25::2]:8333,[2a01:4f8:13b:1605::2]:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,109.230.239.51:8333,94.130.161.228:8333,[2a01:4f8:162:502d::2]:8333
515811,00000000000000000021afa790a25340101f61245b8a0affbd043840f6a922c7,BTC.TOP,47.88.76.141:8333,206.123.112.180:8333,[2a01:4f8:221:3441::2]:8333,69.159.87.104:8333,88.99.107.117:8333,104.140.241.20:8333,5.9.151.241:8333,176.9.155.246:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,109.230.239.51:8333
515810,00000000000000000024f31f76a9184da0f8b3aedf5b11e42d324cebc5bac717,BTC.TOP,46.188.44.82:8333,178.78.213.33:8333,39.106.15.192:8333,39.106.161.222:8333,18.188.45.218:8333,144.76.136.19:8333,178.33.34.137:8333,89.38.96.44:8333,[2a01:4f8:120:13c5::2]:8333,78.46.86.12:8333
515809,00000000000000000025ffb5bfb70f8a7dc32ac4b38bf32d1f91116ee42471c6,BTC.com,59.110.218.88:8333,39.106.55.220:8333,47.93.33.61:8333,39.106.51.68:8333,39.106.161.222:8333,39.106.143.253:8333,121.196.213.129:8333,39.106.15.192:8333,117.62.103.107:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333
515808,0000000000000000000600e4f00ced7630f9de282a715c3150b0a66f1f6a6e6c,AntPool,[2a01:4f8:191:22ee::2]:8333,144.76.31.239:8333,47.91.79.21:8333,94.130.10.158:8333,94.130.140.225:8333,178.63.69.252:8333,[2a01:4f8:13b:109e::2]:8333,94.130.52.104:8333,[2a01:4f8:13b:5c9::2]:8333,144.76.136.19:8333
515807,0000000000000000000ef097c8b4903edd915c2631db57d277742d7e3645d2f0,BTC.com,95.47.242.116:8333,59.110.218.88:8333,[2a01:4f8:a0:746a:101:1:1:2]:8333,213.239.217.18:8333,39.106.159.183:8333,39.106.49.18:8333,39.106.51.68:8333,39.106.161.222:8333,[2a01:4f8:13b:4281::2]:8333,144.76.136.19:8333
515806,00000000000000000050809390e2a9bcb259ce54e40a5d44cf760b92ad962487,BTCC,ndndword5lpb7eex.onion:8333,sslnjjhnmwllysv4.onion:8333,ep2mjzox3kvb6ax4.onion:8333,jwbtcdomx5qspvsu.onion:8333,l5oddj46pvoddzd4.onion:8333,5hwqdbwsa55ljmdm.onion:8333,dgs2gvxw4elsayqe.onion:8333,bpdns4fu2ajuqnfi.onion:8333,i3a5xtzfm4xwtybd.onion:8333,rkdvqcrtfv6yt4oy.onion:8333
515805,00000000000000000048b8e7ee2e47bb7adde28e53570a4c25d4ff2515d82410,BTC.TOP,Not Found
515804,0000000000000000000ed1ccd572828512a828a3f66cc0cbb3b0ff9384923231,unknown,Not Found
515803,0000000000000000000a5e908edf8a2e1afa79605e7c4c2df50d425af3c034c0,BTC.TOP,[2a01:4f8:10b:2e18::2]:8333,94.242.252.57:8333,94.130.64.167:8333,93.170.13.15:8333,[2a01:4f8:c0c:5027::2]:8333,207.182.146.130:8333,83.162.189.199:8333,159.65.131.180:8333,[2a01:238:43e0:e300:40fc:d479:2098:5f34]:8333,88.99.172.114:8333
515802,000000000000000000370f715d5d6f48e18445edfb7e36f9c3780a81706c7254,unknown,[2607:5300:203:1245::]:8333,47.90.242.194:8333,47.89.176.254:8333,144.217.255.69:8333,136.58.77.65:8333,108.58.252.82:8333,[2607:5300:60:5735::]:8333,172.98.193.45:8333,63.143.37.46:8333,185.64.105.67:8333
515801,00000000000000000026489c58b8a9073f13efc430e79890e8a3c28d29e8d8a9,BTC.com,59.110.218.88:8333,112.74.44.120:8333,92.42.110.219:8333,[2a01:7a7:2:1662:5054:ff:fe68:1af6]:8333,39.106.49.18:8333,39.106.55.220:8333,95.47.242.116:8333,47.93.33.61:8333,95.96.8.120:8333,39.106.56.22:8333
515800,0000000000000000003aa13101666e7380136689a0b966f9049a5b75027bbecd,SlushPool,[2a01:4f8:200:44e4::2]:8333,5.9.102.100:8333,[2a01:4f8:13b:4281::2]:8333,178.33.34.137:8333,46.4.92.21:8333,93.174.95.41:8333,93.89.84.93:8333,88.198.35.38:8333,37.220.109.238:8333,85.214.234.164:8333
515799,0000000000000000002ccf149f2b5fe9b8b4f37b90c2e553288613607f0f515a,BitClub,71.121.246.174:8333,52.41.57.158:8333,40.69.36.43:8333,158.174.58.145:8333,101.65.250.228:8333,35.163.147.161:8333,222.155.167.116:8333,218.75.158.229:8333,101.65.250.55:8333,172.101.247.252:8333
515798,00000000000000000016a149848db9b375acae946de2d462625f99d058f86375,SlushPool,Not Found
515797,0000000000000000003bebe2b5e25581bef3010e8843db62742368e6a5b90dcd,BitFury,ndndword5lpb7eex.onion:8333,dgs2gvxw4elsayqe.onion:8333,ohgwa5y65z4eem7b.onion:8333,4cii7ryno5j3axe4.onion:8333,fuckerolyuv7ebla.onion:8333,kkdas3qebkosygu5.onion:8333,z33nukt7ngik3cpe.onion:8333,oiswjdgmblg5uspc.onion:8333,rkdvqcrtfv6yt4oy.onion:8333,f3nfioh27j2xlfe5.onion:8333
515796,0000000000000000001718cbd93934c2d4dc07fa6324704d0ab41622da6d6b0b,SlushPool,Not Found
515795,0000000000000000002b57f63b40680977183fec987cb21721ed49652cf70f87,BTCC,ndndword5lpb7eex.onion:8333,zm7yvu5rly6fyfaw.onion:8333,kkdas3qebkosygu5.onion:8333,bup5n5e3kurvjzf3.onion:8333,u7mpvxotmnqntyn5.onion:8333,nkf5e6b7pl4jfd4a.onion:8333,sslnjjhnmwllysv4.onion:8333,5nir6d6nd5bolrkv.onion:8333,dgs2gvxw4elsayqe.onion:8333,in7r5ieo7ogkxbne.onion:8333
515794,0000000000000000004343c4ea53ab0c01d3b8232729bde983511e403f13626b,AntPool,Not Found
515793,0000000000000000001947f81963f565737e1d4616d632ec573e67540fc4f849,BTC.com,Not Found
515792,0000000000000000004c9a1d450da9c68a2a7045900d594fab01e6609d58465f,BTC.com,47.95.213.15:8333,39.106.159.183:8333,39.106.161.222:8333,39.106.49.32:8333,190.115.26.42:8333,185.77.129.119:8333,47.90.59.216:8333,94.237.64.138:8333,34.238.133.238:8333,180.107.185.200:8333
515791,00000000000000000030fbed5df705a6164e8e8baaac33220cdf3ba7d207ee11,AntPool,34.215.66.150:8333,138.68.15.191:8333,74.124.207.14:8333,[2a01:4f8:13b:4281::2]:8333,107.180.71.47:8333,178.63.88.4:8333,34.238.133.238:8333,204.68.122.42:8333,47.89.179.124:8333,47.90.242.194:8333
515790,0000000000000000000ba19c3d1243de968da795d74556482ba2854045bae879,SlushPool,94.130.84.44:8333,[2a01:4f8:200:44e4::2]:8333,[2a01:4f8:192:1191::2]:8333,[2a01:4f8:202:7227::2]:8333,[2a01:4f8:212:25::2]:8333,47.91.78.239:8333,[2a01:4f8:13b:5c9::2]:8333,[2a01:4f8:151:8430::2]:8333,94.130.52.104:8333,5.9.115.51:8333
515789,0000000000000000004eab9a8467963c22e8d502b5d542523b50d4ad12136966,AntPool,Not Found
515788,0000000000000000001b15dfb3f61edb42ce0e6220d2cf2be84d4e6db4546967,AntPool,46.51.216.153:8333,52.213.83.100:8333,52.199.163.228:8333,34.192.109.181:8333,39.106.159.183:8333,5.9.87.26:8333,39.106.161.222:8333,88.99.6.54:8333,[2a01:4f8:13b:4281::2]:8333,94.130.162.107:8333
515787,0000000000000000002eb1b5293b815d8b1f82169c317e46d8466feb6fd0b381,SlushPool,hgxcom3vbvhrxg7p.onion:8333,6tr7cshvx5aymzth.onion:8333,eab5op3z24n7eqd5.onion:8333,5hwqdbwsa55ljmdm.onion:8333,sslnjjhnmwllysv4.onion:8333,ep2mjzox3kvb6ax4.onion:8333,rkdvqcrtfv6yt4oy.onion:8333,hda7fvzq3voh7mu6.onion:8333,r3dsojfhwcm7x7p6.onion:8333
515786,000000000000000000191ba3fbec250ee412e9d192f5b8ac6b20ff935d3d6a12,BWPool,46.101.219.146:8333,78.46.50.37:8333,[2a01:4f8:110:3070::2]:8333,95.47.242.116:8333,138.201.221.83:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,109.230.239.51:8333,5.9.102.100:8333,46.4.92.21:8333,37.187.157.71:8333
515785,0000000000000000004a352671ca0559588d85b5843a550f76c3ea3a1e63f4e9,SlushPool,Not Found
515784,0000000000000000002b59a490741c637d21c49c200bcd6c031c5d35bc0d6cfa,BWPool,46.101.219.146:8333,50.3.73.103:8333,35.195.84.9:8333,47.94.56.56:8333,178.33.34.137:8333,148.251.21.175:8333,39.106.22.237:8333,190.115.26.42:8333,217.23.13.63:8333,39.106.144.187:8333
515783,0000000000000000003874c0cd9becc49abb7453f2bbb81cf9519e9e4b24ab02,BTC.com,88.99.146.100:8334,47.89.179.181:8333,88.99.107.117:8333,88.99.146.100:8333,[2a01:4f8:10a:2aa3::2]:8333,[2a01:4f8:10b:2a9b::2]:8333,[2a01:4f8:a0:62a6::2]:8333,[2a01:4f8:192:1191::2]:8333,5.9.102.100:8333,94.130.10.158:8333
515782,00000000000000000006ad89a14788da916f65d0f749ac76a799ed1bff8dc426,BTC.com,59.110.218.88:8333,39.106.159.183:8333,190.115.26.42:8333,39.106.161.222:8333,[2a01:4f8:151:120c::2]:8333,212.71.252.184:8333,[2a01:4f8:210:5488::2]:8333,18.195.54.147:8333,[2a01:4f8:200:7222::2]:8333,47.93.25.228:8333
515781,0000000000000000001d72c4e344b57f27d95ef8bb3c705de43cc4b93ff887ff,BTC.com,95.47.242.116:8333,39.106.159.183:8333,39.106.55.220:8333,39.106.161.222:8333,39.106.144.187:8333,47.91.94.81:8333,212.71.252.184:8333,[2a01:4f8:162:50ad::2]:8333,5.9.87.26:8333,[2a01:4f8:151:2054::2]:8333
515780,0000000000000000001696f48f3ce724b5e97e7ae6d611c5f38fdef01e7152f8,AntPool,207.154.209.58:8333,80.211.252.104:8333,[2a01:4f8:141:448b::2]:8333,138.197.72.77:8333,5.9.102.100:8333,[2a01:4f8:162:3462::2]:8333,5.9.115.51:8333,148.251.181.69:8333,91.64.185.105:8333,176.9.155.246:8333
515779,0000000000000000001da2ca1cce4c91d1b645657191ad0171d763341c4776fb,BTC.com,ndndword5lpb7eex.onion:8333,5nir6d6nd5bolrkv.onion:8333,5hwqdbwsa55ljmdm.onion:8333,23wdfqkzttmenvki.onion:8333,hgxcom3vbvhrxg7p.onion:8333,7qg6jdmahfxamay5.onion:8333,kkdas3qebkosygu5.onion:8333,dgs2gvxw4elsayqe.onion:8333,sslnjjhnmwllysv4.onion:8333,fz6nsij6jiyuwlsc.onion:8333
515778,0000000000000000003e7f67e22012c901b52c423eb44808c4f29977e1e5756a,BTC.com,95.47.242.116:8333,59.110.218.88:8333,39.106.55.220:8333,39.106.49.18:8333,39.106.159.183:8333,39.106.144.187:8333,88.198.67.196:8333,39.106.161.222:8333,47.93.25.228:8333,[2a01:4f8:202:7227::2]:8333
515777,0000000000000000003fce0663b7a6effa8ae00fe2ca7bfda7f4af95592d3ef5,BTC.TOP,78.46.50.37:8333,[2a01:4f8:110:3070::2]:8333,178.78.213.33:8333,94.130.160.124:8333,[2a01:4f8:13b:2bc3::2]:8333,188.138.33.34:8333,[2001:1608:10:156:ae::4adb]:8333,82.211.31.142:8333,190.115.26.42:8333,148.251.128.231:8333
515776,00000000000000000044b7f64391daeec685810145a7ebefd093f4949c7a734a,Bitcoin.com,54.82.254.76:8333,[2a01:4f8:10a:2aa3::2]:8333,88.99.107.117:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,109.230.239.51:8333,[2a01:4f8:a0:62a6::2]:8333,144.76.220.47:8331,[2a01:4f8:192:1191::2]:8333,94.130.10.158:8333,94.130.140.225:8333
515775,0000000000000000003c1a7a65e844bf2a98d1044ae454d550928665fa5f3051,BTC.com,59.110.218.88:8333,39.106.51.68:8333,39.106.55.220:8333,47.93.33.61:8333,94.130.167.236:8333,39.106.144.187:8333,88.99.6.54:8333,94.130.52.104:8333,85.93.91.154:8333,5.9.87.26:8333
515774,000000000000000000201bc947e0700b6dae949983e2abc4f0ac38156a2ae6fc,BTC.com,116.62.234.207:8333,144.137.81.49:8333,59.39.196.42:8333,35.185.166.87:8333,95.110.234.93:8333,69.51.11.34:8333,98.223.118.234:8333,86.169.98.169:8333,76.21.120.178:8333,[2603:3005:3000:5000:bc5a:72ac:36e9:175e]:8333
515773,00000000000000000001ce95580cbe727352faf7253573bbc95bb3641892e5aa,F2Pool,[2a01:4f8:200:7222::2]:8333,144.76.196.35:8333,5.9.102.100:8333,39.106.161.222:8333,39.106.144.187:8333,[2a01:4f8:10b:2a9b::2]:8333,[2a01:4f8:a1:ae::153]:8333,[2a01:4f8:141:2254::2]:8333,[2a01:4f8:a0:62a6::2]:8333,178.33.34.137:8333
515772,000000000000000000130a31db33b502d23c14acf85e3d671ccaa8e6be7bdbfd,AntPool,[2a01:4f8:172:1823::2]:8333,138.201.63.36:8333,47.95.211.213:8333,78.155.223.212:38333,159.65.83.218:8333,39.106.159.183:8333,5.9.87.26:8333,85.93.91.154:8333,39.106.161.222:8333,[2a01:4f8:13b:1605::2]:8333
515771,000000000000000000165014cee860e883d2abc0c1ad8f7d82ff7a8d53bedd23,BTC.com,47.91.92.101:8333,128.199.50.89:8333,47.91.89.32:8333,213.222.208.150:8333,91.121.175.85:8333,5.9.87.26:8333,93.174.95.41:8333,[2a01:4f8:212:25::2]:8333,[2a01:4f8:192:1191::2]:8333,[2a01:4f8:13b:1605::2]:8333
515770,0000000000000000002219e9db65358bc51446b0379b3934932eb956787d209d,ViaBTC,39.106.48.119:8333,148.251.21.175:8333,39.106.56.22:8333,39.106.144.187:8333,35.158.229.162:8333,[2a01:4f8:171:141c::2]:5467,93.174.95.41:8333,93.170.13.15:8333,[2a01:4f8:140:7334::2]:8333,88.99.6.54:8333
515769,00000000000000000001dbd5443d37087fff20e7312a68b206b386aae24cc309,BTC.TOP,180.107.185.245:8333,101.65.219.136:8333,114.219.7.231:8333,114.76.97.251:8333,118.189.206.219:8333,101.65.250.224:8333,130.185.144.96:8333,130.185.144.83:8333,42.237.9.192:8333,27.102.203.155:8333
515768,00000000000000000037b3fb1809f7cbf776c1dcec56c695d6173eb0d53e7769,KanoPool,95.27.81.179:8333,185.17.113.25:8333,[2001:41d0:1008:494::]:8333,51.254.44.148:8333,54.144.55.110:8333,172.221.161.177:8333,104.152.187.114:8333,162.209.4.125:8333,138.68.92.65:8333,173.249.22.100:8333
515767,00000000000000000032e85266bb291586e28e6fd9c9c5c0de019a787551f400,ViaBTC,18.196.114.205:8333,88.198.35.38:8333,46.4.87.105:8333,85.10.194.46:8333,[2a01:4f8:141:2254::2]:8333,217.69.82.34:8333,148.251.75.48:8333,37.187.73.108:8033,37.187.157.71:8333,185.194.140.249:8333
515766,00000000000000000045acffff3ad55d7930471a085492eb77e26eeb8d09f1fd,BTC.com,47.95.211.213:8333,47.95.213.15:8333,39.106.159.183:8333,148.251.68.199:8333,94.130.52.104:8333,39.106.161.222:8333,47.95.2.17:8333,85.93.91.154:8333,[2a01:4f8:192:1191::2]:8333,188.68.41.51:8333
515765,0000000000000000004d22ce8ff19c8ee5b966166b0f66286d5c29cb91fc49ec,BTCC,121.40.221.46:8333,54.225.124.69:8333,121.40.242.139:8333,59.110.12.129:8333,39.106.144.187:8333,39.106.161.222:8333,47.93.25.228:8333,39.106.143.253:8333,112.233.92.201:8333,[2a01:4f8:a0:62a6::2]:8333
515764,0000000000000000004a747093d4be30cfe53e412f91ae13c35701286e8a1127,BitClub,54.82.254.76:8333,88.99.107.117:8333,88.99.146.100:8333,[2a01:4f8:10a:2aa3::2]:8333,46.166.148.218:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,109.230.239.51:8333,88.198.35.38:8333,147.135.10.14:8333,[2620:1e6:100:1605::4]:8333
515763,000000000000000000001c65c180b166e8a13aeabc68ad65e2e564041795f341,BitFury,80.92.178.116:8333,31.146.211.3:8333,80.92.178.117:8333,88.99.107.117:8333,88.99.146.100:8333,[2a01:4f8:a0:62a6::2]:8333,[2001:41d0:303:411c::]:8333,[2a01:4f8:192:1191::2]:8333,5.9.102.100:8333,176.9.125.45:8333
515762,0000000000000000000924aeb032bfca3ee394675a3d64c69b4648042ced7f3f,BTC.com,95.96.8.120:8333,39.106.159.183:8333,190.115.26.42:8333,5.9.115.51:8333,39.106.161.222:8333,47.95.2.17:8333,178.33.34.137:8333,47.93.25.228:8333,188.68.41.51:8333,109.236.88.90:8333
515761,00000000000000000021ff5a3d2a413b2094be558785f8df78a5aac60d734e52,BTC.TOP,ndndword5lpb7eex.onion:8333,ep2mjzox3kvb6ax4.onion:8333,dgs2gvxw4elsayqe.onion:8333,kkdas3qebkosygu5.onion:8333,5nir6d6nd5bolrkv.onion:8333,4cii7ryno5j3axe4.onion:8333,fz6nsij6jiyuwlsc.onion:8333,hgxcom3vbvhrxg7p.onion:8333,5qhgxcn24n4ffi4o.onion:8333,l5oddj46pvoddzd4.onion:8333
515760,00000000000000000015022f8c2f167795c443fd7cbe743d4f16742f4dbe4886,F2Pool,39.106.56.22:8333,39.106.144.187:8333,47.93.25.228:8333,88.99.107.117:8333,39.106.143.253:8333,39.106.161.222:8333,47.93.77.198:8333,39.104.71.122:8333,[2a01:4f8:c17:e00::2]:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333
515759,000000000000000000484d0cfe6e92f35a5efc3f2542b06d29d2a2c6cd039866,BTC.com,35.198.121.99:8333,88.99.107.117:8333,[2a01:4f8:10a:2aa3::2]:8333,[2a01:4f8:171:14c4::2]:8333,[2a01:4f8:a0:62a6::2]:8333,176.9.125.45:8333,5.9.115.51:8333,[2a01:4f8:151:8430::2]:8333,107.191.33.82:8333,5.9.102.100:8333
515758,00000000000000000047f25c1dc3bc90de2e46234c913045c92da6adc075ef81,BTC.com,95.96.8.120:8333,138.201.221.83:8333,47.95.2.17:8333,5.9.115.51:8333,178.63.22.78:8333,[2a01:4f8:141:448b::2]:8333,88.99.99.90:8333,212.238.208.157:8333,39.106.161.222:8333,176.9.155.246:8333
515757,0000000000000000002279c52505f97c509c6e13b82495a8a733ee79d3071d0d,BTC.com,Not Found
515756,0000000000000000003582de65dc8d9bf2000f897e0956a418aece9303804135,BTC.com,47.95.211.213:8333,39.106.159.183:8333,47.95.213.15:8333,39.106.161.222:8333,[2001:1608:10:156:ae::4adb]:8333,176.9.155.246:8333,5.9.115.51:8333,85.93.91.154:8333,47.93.25.228:8333,109.236.88.90:8333
515755,0000000000000000002321f3add3acbe637f27abe7dd4a39de0bd21b38072608,AntPool,85.93.91.154:8333,116.125.120.21:8333,5.9.2.145:8333,47.95.2.17:8333,39.106.161.222:8333,94.130.52.104:8333,190.115.26.42:8333,5.9.115.51:8333,119.23.35.100:8333,144.76.220.47:8331
515754,0000000000000000002074238199fce634275ac7aed592dfaa5be1d9d6c204a5,BTC.com,ndndword5lpb7eex.onion:8333,d7lt35zaqhcmtta6.onion:8333,sslnjjhnmwllysv4.onion:8333,5nir6d6nd5bolrkv.onion:8333,94.130.7.19:10303,190.4.184.180:8333,104.1.7.125:8333,129.232.179.170:8333,5.9.209.117:8333,117.81.184.242:8333
