517302,00000000000000000046ea49eea15547e4ed745381f170706377460145b242c5,BTC.com,faq73vj4pcs73thu.onion:8333,xub4w3w4wwk56xiq.onion:8333,jwxyqhp42cmwhqf3.onion:8333,ep2mjzox3kvb6ax4.onion:8333,kxsou2ikl3d4pyhv.onion:8333,fsdtnvc3y25g7xpo.onion:8333,dgs2gvxw4elsayqe.onion:8333,az6wancagfhf65w7.onion:8333,23wdfqkzttmenvki.onion:8333
517220,000000000000000000456b3dc298a6de12c49c25639a9c0f679f1b9962cfc18b,AntPool,52.29.178.25:8333,78.47.68.244:8333,[2a01:4f8:b10:5009::2]:8333,94.130.161.228:8333,39.106.159.183:8333,5.9.115.51:8333,78.46.86.12:8333,39.106.15.192:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,52.29.42.170:8333
517219,0000000000000000002e09369061cdfd27c2b51e148f5654ad7ca14be982bdb5,BTC.com,xub4w3w4wwk56xiq.onion:8333,sslnjjhnmwllysv4.onion:8333,ohgwa5y65z4eem7b.onion:8333,kxsou2ikl3d4pyhv.onion:8333,73.125.6.23:8333,78.193.96.155:8333,80.136.184.78:8333,185.43.197.111:8333,124.85.14.127:8333,91.121.78.119:8333
517218,0000000000000000001f7f2fc9792c8b6e1571110cfd1a356087930817e3a65e,BTC.TOP,dgs2gvxw4elsayqe.onion:8333,73cyzshlpq4agrxw.onion:8333,nns4r54x3lfbrkq5.onion:8333,xub4w3w4wwk56xiq.onion:8333,lvqv5nehy7q472kl.onion:8333,wg6vwmbrzyyzapun.onion:8333,23wdfqkzttmenvki.onion:8333,ep2mjzox3kvb6ax4.onion:8333,cjuek22p4vv4hzbu.onion:8333,vev3n5fxfrtqj6e5.onion:8333
517217,000000000000000000275d8131f8c599af2ee1ac247a6cb20fadfd5ba5caa448,BTC.com,47.95.211.213:8333,139.59.167.141:8333,13.80.67.162:8333,[2a01:4f8:192:1191::2]:8333,34.227.114.113:8333,[2001:41d0:303:411c::]:8333,94.130.9.56:8333,[2002:5590:77de::1]:8333,159.203.122.25:8333,[2a01:4f8:140:7334::2]:8333
517216,00000000000000000013d40437ab49f21cca007053cb0b29c4fe2be1c416bd64,ViaBTC,120.77.241.19:8333,31.7.60.82:8333,120.78.196.213:8333,[2a01:4f8:192:1191::2]:8333,[2a01:4f8:13b:5c9::2]:8333,88.99.146.100:8334,120.79.64.237:8333,52.29.178.25:8333,94.23.250.222:9444,[2a01:4f8:201:11f1::2]:8333
517215,000000000000000000003c2b1addb8541177e78e743255af505ef6ffdda9a3bf,BTC.com,47.95.211.213:8333,39.106.159.183:8333,144.76.136.19:8333,39.106.15.192:8333,139.59.167.141:8333,39.106.158.44:8333,88.99.146.100:8334,94.130.140.225:8333,[2a01:4f8:140:7334::2]:8333,174.138.4.91:8333
517214,0000000000000000004fc2209c6ff94182582922355309377cb8bf9bb44c8704,BTC.TOP,[2a01:4f8:200:6051::2]:8333,[2a01:4f8:150:22ca::2]:8333,[2a01:4f8:202:32e9::3:1]:8333,144.76.182.84:8333,176.9.24.206:8333,148.251.68.236:8333,47.91.91.128:8333,[2a01:4f8:151:120c::2]:8333,5.9.115.51:8333,5.9.102.100:8333
517213,0000000000000000001d2efe96961cbed4c4380f36dddcd685143cf1cbd629e2,SlushPool,88.99.107.117:8333,88.99.146.100:8333,[2a01:4f8:10a:2aa3::2]:8333,46.166.148.218:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,109.230.239.51:8333,88.198.35.38:8333,94.130.10.158:8333,148.251.75.48:8333,[2001:41d0:303:411c::]:8333
517212,00000000000000000038f76b1624efaab85005916c6e406f7ad2e356813913db,BTC.com,[2a01:4f8:192:1191::2]:8333,144.76.84.146:8333,5.9.87.26:8333,88.99.6.54:8333,[2a01:4f8:202:7227::2]:8333,195.201.158.189:8333,88.198.35.38:8333,148.251.21.175:8333,178.32.49.12:8333,176.9.125.45:8333
517211,00000000000000000021ec5705cc6c4ee68dff8a77627b0e6fa3ddf7f358c540,SlushPool,54.174.208.181:8333,[2a01:4f8:200:7222::2]:8333,144.76.196.35:8333,94.130.52.104:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,88.99.6.54:8333,148.251.21.175:8333,5.9.102.100:8333,[2001:41d0:303:188::]:8333,[2a01:4f8:200:442d::2]:8333
517210,0000000000000000002aec4f6960d6992ae75f76a4d7b49e94aecf686c0b3326,BTC.com,47.95.213.15:8333,47.95.211.213:8333,139.59.167.141:8333,47.95.2.17:8333,[2a01:4f8:192:1191::2]:8333,34.227.114.113:8333,195.201.158.189:8333,[2a01:4f8:13b:4281::2]:8333,[2a01:4f8:200:9338::2]:8331,159.203.122.25:8333
517209,0000000000000000004354e28acdac05e0dad54e4aa57dafb3f01a48a9852a56,ViaBTC,120.77.241.19:8333,[2a01:4f8:13b:5c9::2]:8333,88.99.146.100:8334,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,109.230.239.51:8333,[2a01:4f8:171:141c::2]:5467,[2a01:4f8:192:1191::2]:8333,112.74.33.245:8333,188.40.71.200:8333,5.9.102.100:8333
517208,0000000000000000003511b13561e3a4a756a26df97833b0e1d2b8321d4cd82c,F2Pool,39.106.56.22:8333,88.99.107.117:8333,[2a01:4f8:10a:2aa3::2]:8333,52.29.178.25:8333,39.106.15.192:8333,46.166.148.218:8333,47.94.224.99:8333,144.76.136.19:8333,39.106.158.44:8333,47.91.78.239:8333
517207,00000000000000000029dda038a90f9e241378a5ffb4767a8843b15203fceed2,DPOOL,78.46.32.92:8333,47.90.241.212:8333,47.89.176.254:8333,47.90.242.214:8333,144.76.136.19:8333,148.251.69.147:8333,46.229.168.201:8333,176.9.125.45:8333,94.130.140.225:8333,[2a01:4f8:151:8430::2]:8333
517206,00000000000000000048a73ac6e14ecf65b99d3535ae43a4ef3eb952e9d3652b,BTC.com,59.110.218.88:8333,119.28.69.82:8333,35.158.229.162:8333,[2001:41d0:303:411c::]:8333,[2a01:4f8:192:1191::2]:8333,39.106.159.183:8333,139.59.167.141:8333,85.93.91.154:8333,82.199.102.10:8333,[2a01:4f8:13b:271c::2]:10731
517205,0000000000000000004b9f6f7bcf62aa7f38714946a94e9ae55e9ade881d1eb5,AntPool,47.95.211.213:8333,35.158.103.243:8333,40.125.172.207:8333,39.106.161.228:8333,52.29.178.25:8333,[2001:41d0:1008:1c23::]:8333,148.251.13.75:8333,77.163.136.136:8333,37.123.182.182:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333
517204,00000000000000000035f81ef56404b319df5ad2cd15575475134231805b8f08,DPOOL,47.90.215.185:8333,78.46.32.92:8333,[2001:470:8a2f:8000::e998]:8333,165.123.12.31:8333,47.90.242.214:8333,148.251.69.147:8333,34.227.114.113:8333,108.58.252.82:8333,192.99.1.46:8333,139.59.167.141:8333
517203,00000000000000000008184a0404f8993fb6a26a38b90c187e96ae0a06f5e60b,AntPool,159.65.83.218:8333,94.130.161.228:8333,52.29.178.25:8333,35.158.103.243:8333,52.29.42.170:8333,88.99.146.100:8334,77.163.136.136:8333,5.9.115.51:8333,5.9.87.26:8333,89.38.96.44:8333
517202,000000000000000000429fc53cca132fe37589a202eed535cd6072571ea71e8d,F2Pool,220.130.128.58:8333,[2a01:4f8:141:5491::2]:8333,46.4.18.160:8335,52.72.156.74:8333,34.205.92.194:8333,54.255.214.76:8333,37.187.157.71:8333,94.130.10.158:8333,176.9.125.45:8333,[2a01:4f8:151:8430::2]:8333
517201,000000000000000000435b6a7780d3621dd2612df87d2234beac1b0dbe7464ed,BTC.com,[2a01:4f8:200:6051::2]:8333,47.91.91.128:8333,144.76.182.84:8333,88.99.107.117:8333,5.9.115.51:8333,52.29.42.170:8333,[2a01:4f8:162:6021::2]:8333,47.91.95.206:8333,[2a01:4f8:172:1568::2]:8333,138.201.243.21:8333
517200,00000000000000000015353fca3bfb1e97f221705d8aebc307aaecc4b474bc0f,58COIN,[2a01:4f8:150:22ca::2]:8333,176.9.24.206:8333,176.9.78.10:8333,88.99.107.117:8333,5.9.115.51:8333,[2a01:4f8:171:b4f::2]:8333,47.91.94.81:8333,52.29.42.170:8333,94.130.161.228:8333,5.9.102.100:8333
517199,0000000000000000003df03d556792dfd4298e8c30ec9160897608f7f77323a5,SlushPool,[2a01:4f8:173:1622::2]:8333,[2a01:4f8:192:1191::2]:8333,138.201.206.35:8333,144.76.84.146:8333,5.9.50.185:8333,[2a01:4f8:201:11f1::2]:8333,[2a01:4f8:13b:109e::2]:8333,148.251.21.175:8333,[2a01:4f8:13b:4281::2]:8333,195.201.158.189:8333
517198,0000000000000000001463a892a56a6a604bfe328bf648e0f851959bc3329300,BTC.com,47.95.211.213:8333,47.95.213.15:8333,47.95.2.17:8333,39.106.159.183:8333,39.106.161.222:8333,39.106.161.228:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,109.230.239.51:8333,52.29.178.25:8333,60.205.94.182:8333
517197,00000000000000000042d9e69a7ad5cd0eff7fa22023864cbb8e6915b7c70e2b,F2Pool,88.99.107.117:8333,88.99.146.100:8333,[2a01:4f8:10a:2aa3::2]:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,46.166.148.218:8333,109.230.239.51:8333,52.29.178.25:8333,5.9.102.100:8333,144.76.136.19:8333,94.130.162.107:8333
517196,0000000000000000003da6d582fa45108913003473660863396c213008533bd7,F2Pool,[2a01:4f8:150:22ca::2]:8333,[2a01:4f8:151:120c::2]:8333,5.9.115.51:8333,52.29.42.170:8333,136.243.104.75:8333,[2a01:4f8:1c17:4099::1]:8333,[2a01:4f8:13b:4281::2]:8333,[2a01:4f8:200:442d::2]:8333,[2a01:4f8:141:2426::2]:8333,5.9.66.210:8333
517195,000000000000000000073970c87e70ccf4210a947cbf46601b976519fee0c2a5,ViaBTC,81.175.243.86:8333,47.75.2.103:8333,139.59.208.141:8333,52.29.178.25:8333,85.93.91.154:8333,88.99.146.100:8334,213.239.196.9:8333,[2002:7818:c434::7818:c434]:8333,46.138.151.84:8333,[2a01:4f8:13b:109e::2]:8333
517194,0000000000000000001c609c36b5ed4ca4cb605c30bec713d922017572e9d296,BTC.com,Not Found
517193,000000000000000000382d93ebe01e1e55f0cab3e822152b15a9ff462dff36ee,BTC.TOP,[2a01:4f8:172:1568::2]:8333,138.201.243.21:8333,37.187.152.7:8333,5.9.102.100:8333,144.76.136.19:8333,88.99.241.221:8333,93.170.13.15:8333,[2a01:4f8:141:448b::2]:8333,85.214.241.144:8333,39.106.159.183:8333
517192,00000000000000000008f0f0079794b4ed49f9a80fee7977fef9ce5035022f42,BTC.com,Not Found
517191,000000000000000000071e9464768c1eb4683e78026e27361bc6baf9287306c4,BTC.com,Not Found
517190,0000000000000000001f873b8b60c909831528e9dde47e958d9c2db88d0f308a,BTC.com,faq73vj4pcs73thu.onion:8333,xub4w3w4wwk56xiq.onion:8333,138.68.161.125:8333,46.101.244.110:8333,24.8.220.127:8333,74.108.25.188:8333,207.182.146.90:8333,[2a00:f940:2:1:2::1086]:8333,198.187.28.202:8333,[2605:c000:2a0a:1::102]:8333
517189,00000000000000000012792f46d7a0098232e24da154f45cfdd2362f0231d611,AntPool,47.74.234.64:8333,174.138.4.91:8333,[2a01:4f8:162:502d::2]:8333,94.130.10.158:8333,[2a01:4f8:141:448b::2]:8333,185.6.124.16:8333,34.227.114.113:8333,5.9.102.100:8333,107.172.9.157:8333,78.46.39.198:8333
517188,0000000000000000001be8b590f8f0f018ad8bbc46f1f943f4009e10567b4521,SlushPool,cjuek22p4vv4hzbu.onion:8333,vk3qjdehyy4dwcxw.onion:8333,dgs2gvxw4elsayqe.onion:8333,lvqv5nehy7q472kl.onion:8333,faq73vj4pcs73thu.onion:8333,hbnnzteon75un65y.onion:8333,sslnjjhnmwllysv4.onion:8333,xub4w3w4wwk56xiq.onion:8333,wg6vwmbrzyyzapun.onion:8333,ep2mjzox3kvb6ax4.onion:8333
517187,0000000000000000003696fc511955bff3bcbe8a5c75fda5720ded08f311b1cf,DPOOL,39.106.55.220:8333,52.29.178.25:8333,185.77.129.119:8333,47.91.94.81:8333,85.93.91.154:8333,144.76.136.19:8333,[2a01:4f8:13b:4281::2]:8333,93.89.84.93:8333,149.202.94.141:8333,89.245.204.103:8333
517186,0000000000000000003d9754a9f6839bbddba46c9542feb9e64cbd200fec6842,SlushPool,Not Found
517185,00000000000000000004ab929286bfb09ef74dd67fd0f4b8d83a7dd46b3a81c0,BitClub,88.99.146.100:8334,88.99.107.117:8333,88.99.146.100:8333,[2a01:4f8:10a:2aa3::2]:8333,5.9.143.40:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,[2a00:1768:2001:24::148:218]:8333,109.230.239.51:8333,94.130.10.158:8333,37.220.109.238:8333
517184,000000000000000000351f09680af1b1e46b1542989b1e69c1ebd042a8c524d6,BTC.com,47.95.211.213:8333,37.252.14.39:8333,47.95.213.15:8333,[2a03:b0c0:1:d0::69:3001]:8333,190.115.26.42:8333,139.59.167.141:8333,39.106.161.222:8333,[2001:41d0:303:411c::]:8333,39.106.56.22:8333,54.36.234.238:8333
517183,000000000000000000159c2a7dd2d2a3fe5e57f156e9eb0c24c15cd4c42d946e,AntPool,159.65.83.218:8333,[2a01:4f8:192:1191::2]:8333,35.158.103.243:8333,47.95.2.17:8333,144.76.136.19:8333,139.59.167.141:8333,123.56.9.169:8333,[2a01:4f8:140:7334::2]:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,109.230.239.51:8333
517182,0000000000000000004aff5184371a34caf5368292ccdfaf77c962df27ad2742,BTC.com,Not Found
517181,00000000000000000015deed52079685a7a6f46b36ab0c228e3a062a7ee27636,SlushPool,Not Found
517180,00000000000000000025bbeb1d74f902fb76f485b9ada1e3dfa1d04903f3314c,F2Pool,39.106.56.22:8333,52.29.178.25:8333,78.46.86.12:8333,190.115.26.42:8333,5.9.102.100:8333,47.94.224.99:8333,144.76.136.19:8333,47.93.33.61:8333,[2a01:4f8:141:448b::2]:8333,95.183.48.118:8333
517179,0000000000000000000a80b5ad75924462f9d9f15517d2b7f90a26eac0a74b4f,AntPool,46.166.148.160:8333,39.104.116.26:8333,39.106.56.22:8333,37.252.14.39:8333,78.155.223.212:38333,194.67.223.124:8333,[2a01:4f8:200:6346::2]:8333,39.106.144.187:8333,39.106.51.68:8333,144.76.185.71:8333
517178,0000000000000000000a95932872a80eb76b990ffee7d834aa7d5165b52fe92b,Bitcoin.com,[2a01:4f8:191:60a5::2]:8333,213.239.196.9:8333,88.99.146.100:8334,94.130.161.228:8333,94.130.10.158:8333,5.9.102.100:8333,[2a01:4f8:141:448b::2]:8333,176.9.125.45:8333,[2a01:4f8:141:2426::2]:8333,5.9.115.51:8333
517177,00000000000000000014818fc834aefebc0b2f7def409361c285e3c809b771a6,ConnectBTC,35.162.94.196:8333,34.192.109.181:8333,35.156.94.60:8333,93.174.95.23:8333,90.63.216.219:8333,18.85.55.245:8333,5.9.87.26:8333,138.201.51.131:8333,[2a01:4f8:13b:5c9::2]:8333,88.99.6.54:8333
517176,000000000000000000344562444bdee0ae6016e2ec2a029ca3fdd0bcc0de766f,BTC.com,[2a01:4f8:a0:746a:101:1:1:2]:8333,213.239.217.18:8333,82.146.51.103:8333,37.187.31.161:8333,[2a01:4f8:171:141c::2]:5467,52.29.178.25:8333,[2a01:4f8:200:6051::2]:8333,[2a01:4f8:192:1191::2]:8333,5.9.102.100:8333,[2001:41d0:8:d444::1]:8333
517175,0000000000000000003892269b8fdeb65117456085f8e59a9278e3178d6f5a28,ViaBTC,81.169.232.55:8333,54.146.103.64:8333,145.239.136.63:8333,37.187.141.73:8333,62.210.192.47:8333,185.28.76.179:8333,91.121.163.195:8333,5.189.147.80:8333,62.210.103.45:8333,217.64.47.171:8333
517174,0000000000000000000504ceac707361cb66a43285d29060e3a2e48c00dd4642,CanoePool,185.85.3.140:8333,[2a01:4f8:150:3343::2]:8333,52.29.178.25:8333,39.106.56.22:8333,144.76.136.19:8333,190.115.26.42:8333,[2a01:4f8:13b:109e::2]:8333,59.110.218.88:8333,[2a01:4f8:a0:746a:101:1:1:2]:8333,78.46.86.12:8333
517173,00000000000000000044e42f881dda7bf6758c550314e987b653b67774a374ae,AntPool,85.14.240.123:8333,46.101.153.151:8333,5.79.123.3:8333,18.188.45.218:8333,213.32.7.136:8333,173.212.244.112:8333,[2a01:4f8:13b:4281::2]:8333,18.196.79.108:8333,178.62.250.209:8333,213.239.196.9:8333
517172,00000000000000000020b4286112feaf1530b6af5dcf796c7f599d9751af9842,SlushPool,Not Found
517171,0000000000000000000c10b729511447d0696e10fdf96d5eac9905ab48f44d56,ViaBTC,148.251.4.137:8333,46.4.102.164:8002,94.130.10.158:8333,[2a01:238:43e0:e300:40fc:d479:2098:5f34]:8333,5.9.102.100:8333,[2a01:4f8:192:1191::2]:8333,94.130.52.104:8333,88.99.6.54:8333,94.130.9.56:8333,46.4.100.141:8333
517170,000000000000000000283759ac75bf3fe4fbb48679c6f7a9fa6986f94c4afc48,BTC.com,39.106.159.183:8333,37.252.14.39:8333,47.95.213.15:8333,144.76.136.19:8333,52.29.178.25:8333,46.4.92.21:8333,139.59.167.141:8333,176.9.125.45:8333,[2a01:4f8:13b:5c9::2]:8333,[2a01:4f8:151:8430::2]:8333
517169,0000000000000000002390382a6f67cedbf0e4a52c5779055b617e194b8cbfa1,ViaBTC,159.65.179.64:8333,47.89.191.220:8333,34.227.114.113:8333,74.108.25.188:8333,18.188.10.196:8333,148.76.42.147:8333,93.170.13.15:8333,[2001:41d0:303:411c::]:8333,[2a01:4f8:192:1191::2]:8333,47.89.179.124:8333
517168,00000000000000000046597dba98e17a639af0f963122d31034b0b1227071ac5,BTC.com,[2a01:4f8:150:22ca::2]:8333,176.9.24.206:8333,[2a01:4f8:151:120c::2]:8333,176.9.78.10:8333,144.76.182.84:8333,5.9.85.243:8333,[2a01:4f8:13b:4281::2]:8333,[2a01:4f8:172:1568::2]:8333,148.251.68.236:8333,52.29.178.25:8333
517167,0000000000000000003c36e66e8fe57ee69613eb8fa7a311eac4acfadcd29cc0,BTC.com,88.99.107.117:8333,88.99.146.100:8333,[2a01:4f8:10a:2aa3::2]:8333,46.166.148.218:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,109.230.239.51:8333,88.198.35.38:8333,94.130.10.158:8333,[2a01:4f8:202:7227::2]:8333,[2001:41d0:303:411c::]:8333
517166,00000000000000000014eb2cfbb8c04a1862e111649f11dac23add34a2fdb82e,CanoePool,Not Found
517165,0000000000000000002150c9f68a68b7e395343bbe1d1e0173c057e2c991b5fe,BTC.com,xub4w3w4wwk56xiq.onion:8333,lvqv5nehy7q472kl.onion:8333,v455gofckfzzakio.onion:8333,cjuek22p4vv4hzbu.onion:8333,dgs2gvxw4elsayqe.onion:8333,fsdtnvc3y25g7xpo.onion:8333,kkdas3qebkosygu5.onion:8333,73cyzshlpq4agrxw.onion:8333,fucksxk4zbeobmmr.onion:8333,sslnjjhnmwllysv4.onion:8333
517164,00000000000000000015f99bb763341110f7868268442c7e75181f26f3272767,BTC.TOP,[2a01:4f8:172:1568::2]:8333,138.201.243.21:8333,[2a01:4f8:150:22ca::2]:8333,5.9.102.100:8333,144.76.136.19:8333,39.106.56.22:8333,[2a01:4f8:200:44e4::2]:8333,93.89.84.93:8333,190.115.26.42:8333,59.110.218.88:8333
517163,0000000000000000003139df80a0c069063a9041270ce323b56b4255a50f2b4c,SlushPool,88.99.2.99:9001,176.9.24.206:8333,[2a01:4f8:192:1191::2]:8333,[2a01:4f8:200:44e4::2]:8333,5.9.102.100:8333,148.251.75.48:8333,148.251.21.175:8333,188.40.71.200:8333,5.9.115.51:8333,193.70.18.160:10303
517162,0000000000000000002bf3c7ef1d2b5c5c34a7519930ee0562399d0be0b015b2,SlushPool,sslnjjhnmwllysv4.onion:8333,l5oddj46pvoddzd4.onion:8333,cjuek22p4vv4hzbu.onion:8333,ep2mjzox3kvb6ax4.onion:8333,kvd44sw7skb5folw.onion:8333,23wdfqkzttmenvki.onion:8333,mxdtrjhe2yfsx3pg.onion:8333,5guaeulc7xm4g2mm.onion:8334,dgs2gvxw4elsayqe.onion:8333,kxsou2ikl3d4pyhv.onion:8333
517161,00000000000000000038580b19c3872314b50c74942e7520c351b1704ad93fe6,BitClub,88.99.107.117:8333,88.99.146.100:8333,[2a01:4f8:10a:2aa3::2]:8333,46.166.148.218:8333,46.105.229.128:8333,94.130.10.158:8333,[2620:1e6:100:1605::4]:8333,[2a01:4f8:10a:3fe4::2]:8333,52.29.178.25:8333,54.165.179.191:8333
517160,0000000000000000000fbf04c0380d4c5ced24c5c1a054010e3fc5da8af7e64f,SlushPool,[2a01:4f8:200:7222::2]:8333,144.76.196.35:8333,[2a01:4f8:191:60a5::2]:8333,138.201.136.145:8333,212.112.133.92:8333,88.198.35.38:8333,[2001:41d0:303:411c::]:8333,[2a01:4f8:13b:271c::2]:10731,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,109.230.239.51:8333
517159,00000000000000000024fad0e361b9ef17d458162bbbcf91be246dd5f54626e3,F2Pool,39.106.49.18:8333,39.106.56.22:8333,59.110.241.148:8333,59.110.218.88:8333,47.93.33.61:8333,39.106.51.68:8333,47.94.224.99:8333,207.154.221.35:9250,88.99.107.117:8333,39.106.143.253:8333
517158,00000000000000000011dcc11d29f3c95b83da18f548af7a16fe4118a4a2fd66,BTC.TOP,[2a01:5f0:c001:106:4d::5]:8333,[2a01:4f8:150:72ee::4202]:8333,176.9.155.246:8333,85.93.91.154:8333,94.130.9.56:8333,[2a01:4f8:a0:62a6::2]:8333,[2a01:4f8:200:442d::2]:8333,94.130.222.201:9354,39.106.161.222:8333,5.9.87.26:8333
517157,0000000000000000003e2b79707d4f963f2f935e6a62ac6bf10c4692123ce373,BTC.com,119.28.69.82:8333,59.110.218.88:8333,39.106.56.22:8333,47.93.33.61:8333,144.76.196.35:8333,47.94.224.99:8333,78.46.86.12:8333,94.130.9.56:8333,85.93.91.154:8333,88.198.35.38:8333
517156,000000000000000000288c68d545b006b2f46587758954ed22ecaf9c421e7998,BTC.com,39.106.55.220:8333,39.106.51.68:8333,39.106.22.237:8333,47.93.33.61:8333,[2a01:4f8:120:13c5::2]:8333,78.46.86.12:8333,47.94.224.99:8333,59.110.218.88:8333,85.93.91.154:8333,137.226.34.46:8333
517155,0000000000000000001aee36da3da82c98638436102b757e2890c2fe2c13f698,SlushPool,Not Found
517154,0000000000000000001e40f69b0321e5c7a42b2c9beed7e2554c836534b17af3,BTC.TOP,Not Found
517153,00000000000000000023b9aa348d76d9822820580eb7103775afa1cf120cdfdd,BTC.com,37.252.14.39:8333,47.95.211.213:8333,39.106.161.222:8333,18.195.54.147:8333,185.194.142.225:8333,18.194.141.225:8333,138.68.93.0:8333,54.36.234.238:8333,39.106.161.228:8333,47.95.213.15:8333
517152,00000000000000000008527ccd1d1fcca08ef7e9186f6341265f0a06b58fc37b,WAYI.CN,cjuek22p4vv4hzbu.onion:8333,73cyzshlpq4agrxw.onion:8333,5guaeulc7xm4g2mm.onion:8334,ep2mjzox3kvb6ax4.onion:8333,kxsou2ikl3d4pyhv.onion:8333,lvqv5nehy7q472kl.onion:8333,hda7fvzq3voh7mu6.onion:8333,xub4w3w4wwk56xiq.onion:8333,kkdas3qebkosygu5.onion:8333,5hwqdbwsa55ljmdm.onion:8333
517151,00000000000000000009102bb99574ea1fe974cc13991bf5c9f4676b6a38f0d8,BTC.com,47.95.2.17:8333,47.95.213.15:8333,39.106.56.22:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,109.230.239.51:8333,47.93.33.61:8333,[2a01:4f8:13b:4281::2]:8333,59.110.218.88:8333,47.94.224.99:8333,88.198.35.38:8333
517150,0000000000000000000dd34e4cd8bf779c9f898b313e47dacdba2e47ffb12334,AntPool,cjuek22p4vv4hzbu.onion:8333,lvqv5nehy7q472kl.onion:8333,faewczjuzs4wfxhv.onion:8333,w4bh4cputinlptzm.onion:8333,sslnjjhnmwllysv4.onion:8333,b5d6etfljm2lje5y.onion:8333,73cyzshlpq4agrxw.onion:8333,ep2mjzox3kvb6ax4.onion:8333,v455gofckfzzakio.onion:8333,kxsou2ikl3d4pyhv.onion:8333
517149,00000000000000000012357d3dfbe9708a9a36c59f30d0547de6041fdde332f3,BTC.TOP,178.78.213.33:8333,190.115.26.42:8333,144.76.136.19:8333,39.106.56.22:8333,138.201.20.221:8333,78.46.86.12:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,59.110.218.88:8333,88.198.35.38:8333,47.93.33.61:8333
517148,0000000000000000002961016941273e85a2b4376e436a93fd1fd5d764fccf29,BTC.com,119.28.69.82:8333,59.110.218.88:8333,39.106.56.22:8333,47.93.33.61:8333,47.94.224.99:8333,78.46.86.12:8333,37.187.157.71:8333,144.76.196.35:8333,[2a01:4f8:13b:271c::2]:10731,148.251.21.175:8333
517147,000000000000000000430737b187111466261c1a00e739e1b7479f348eb1e7f0,BTC.com,119.28.69.82:8333,[2a01:4f8:150:728f::2]:8333,176.9.52.142:8333,59.110.218.88:8333,94.130.222.201:8333,[2a01:4f8:13b:3da8::2]:8333,[2a01:4f8:13b:1563::2]:8333,195.201.84.23:8333,[2a01:4f8:173:1622::2]:8333,138.201.206.35:8333
517146,0000000000000000003e15880776e241aed773e918a7e64f788eec69b5c333cb,BTC.com,138.201.50.84:8333,[2a01:4f8:a0:2232::2]:8333,88.198.35.38:8333,[2001:41d0:303:3aa9::]:8333,5.9.87.26:8333,88.99.6.54:8333,[2a01:4f8:202:7227::2]:8333,[2a01:4f8:192:1191::2]:8333,95.96.8.120:8333,[2a01:4f8:13b:5c9::2]:8333
517145,000000000000000000002df3b436917a5b08087b8a717668d1fadb58fa1f0619,SlushPool,[2a01:4f8:221:3441::2]:8333,46.4.33.254:8333,94.130.140.225:8333,88.99.82.23:8333,[2a01:4f8:c17:6dd0::2]:8333,94.130.10.158:8333,213.239.196.9:8333,85.114.128.101:8333,[2a01:4f8:13b:109e::2]:8333,[2a01:4f8:192:1191::2]:8333
517144,000000000000000000330135c28ba8dba5c9298094b50da649007e0d0263bb2e,BTC.com,[2001:41d0:303:3aa9::]:8333,5.135.255.224:8333,178.32.49.12:8333,88.99.6.54:8333,[2a01:4f8:13b:5c9::2]:8333,47.91.89.32:8333,95.96.8.120:8333,5.9.115.51:8333,47.91.78.239:8333,[2a01:4f8:200:44e4::2]:8333
517143,0000000000000000003610a937ce22b538d96241de1e1018218b2cd0d6c31255,SlushPool,142.44.136.194:8333,160.36.130.180:8333,178.62.250.209:8333,66.70.181.181:8333,38.142.62.85:8333,159.65.234.49:8333,209.239.112.19:8333,[2a01:4f8:190:9005::2]:8333,35.226.250.147:8333,52.6.48.67:8333
517142,0000000000000000001cc9015a8de9ba6139158836e5d5f2de6fe7f410f9b5c9,BTC.TOP,178.78.213.33:8333,[2a01:4f8:171:b4f::2]:8333,[2a01:4f8:13b:4281::2]:8333,82.149.97.25:17567,94.130.236.195:8333,176.9.155.246:8333,195.201.109.50:8333,47.93.97.179:8333,144.76.136.19:8333,47.91.94.81:8333
